,0
53,https://www.chcsec.gov.tw/activitysoonlist?uid=136
54,https://www.chcsec.gov.tw/activitysoonlist?uid=148
55,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=R
56,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=G
57,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=J
58,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=B
59,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=N
60,"https://culture.tainan.gov.tw/active/index?Parser=99,3,31"
61,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=H
62,"https://culture.tainan.gov.tw/act_month/index?Parser=99,5,44"
63,http://www.thma.org.tw/event.php
64,https://www.nmth.gov.tw/activitysoonlist?uid=129
65,https://www.nmth.gov.tw/exhibitionlist?uid=127
66,https://www.nmh.gov.tw/activitysoonlist1_71.html?isexp=3
67,https://www.nmh.gov.tw/activitysoonlist_66.html
68,https://www.nmh.gov.tw/informationimgs_69.html
69,"https://www.mlc.gov.tw/search/List.aspx?Parser=99,12,78,,,,,,,,,,%e6%bc%94%e8%97%9d%e6%b4%bb%e5%8b%95"
70,"https://www.mlc.gov.tw/search/List.aspx?Parser=99,12,78,,,,,,,,,,%e5%b1%95%e8%a6%bd"
71,https://www.ntso.gov.tw/activitysoonlist?uid=262
72,https://www.giantcyclingworld.com/news.php?c=a10060ad-82a0-4cd7-87ee-ef8cce20e6e3
73,"https://www.mlc.gov.tw/active/index.aspx?Parser=10,6,38"
74,https://eeis.epa.gov.tw/front/EEAction/_show/Default.aspx
75,"https://www.library.taichung.gov.tw/public/latestevent/index.asp?Parser=34,20,195,50"
76,https://eeis.epa.gov.tw/front/EEAction/_show/default.aspx
77,"https://www.mlc.gov.tw/active/index.aspx?Parser=10,3,26"
78,"https://www.library.taichung.gov.tw/public/activity/index.asp?Parser=9,20,541,50"
79,https://creativetainan.culture.tainan.gov.tw/index.php?option=module&lang=cht&task=showlist&id=212
80,https://creativetainan.culture.tainan.gov.tw/index.php?temp=news&lang=cht
81,https://www.bonnygo.com.tw/tw/battle/index.aspx
82,http://channel.pixnet.net/events/history
83,https://www.cing-gingstar.com.tw/news.php
84,https://eeis.epa.gov.tw/front/EEAction/_show/default.aspx?type=12
85,"https://www.library.taichung.gov.tw/public/latestevent/index.asp?Parser=22,20,454,466"
86,https://www.junyiacademy.org/junyi-english/junyi-english-others
87,https://www.junyiacademy.org/computing/sw-app
88,https://www.tourismfactory.tw/NewsList.php
89,https://www.012book.com.tw/news.php
90,https://www.shanfeng.com.tw/category/promotion/
91,http://www.dajiama.org.tw/List.aspx?tid=5
92,https://lkkpomia.tgb.org.tw/posts/?page=2
93,https://www.youthhub.tw/news
94,https://www.nspo.narl.org.tw/activity_list.php?c=A2001160001&ln=zh_TW
95,https://www.spnp.gov.tw/Site/LatestNews
96,https://www.ukestyle.com/edcontent.php?lang=tw&tb=2
97,http://tw-toylibrary.org/new/event.php?type=0
98,https://www.ddm.org.tw/xmnews?xsmsid=0K359848057214579588
99,https://eeis.epa.gov.tw/front/HistoryEvent/Default.aspx
100,https://eeis.epa.gov.tw/front/HistoryEvent/
101,https://www.tcc.moj.gov.tw/295804/295815/806524/806528/Lpsimplelist
102,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=L
103,http://www.acp-randonneurs-taiwan.org.tw/modules/tadnews
104,https://chccp.e-land.gov.tw/category/%e5%9c%92%e5%8d%80%e5%85%ac%e5%91%8a/
